LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,1,2013-11-07T06:20:48,Julius NM,Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirtplease leave a like comment  and please subscribe!!!!
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,1,2013-11-07T12:37:15,adam riyati,Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirtplease leave a like comment  and please subscribe!!!!
LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,1,2013-11-08T17:34:21,Evgeny Murashkin,just for test I have to say murdev.com
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,1,2013-11-09T08:28:43,ElNino Melendez,me shaking my sexy ass on my channel enjoy ^_^ ﻿
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,1,2013-11-10T16:05:38,GsMega,watch?v=vtaRGgvGtWQ   Check this out .﻿
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,1,2013-11-26T02:55:11,Jason Haddad,Hey check out my new website!! This site is about kids stuff. kidsmediausa  . com
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,1,2013-11-27T21:39:24,ferleck ferles,Subscribe to my channel ﻿
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,0,2013-11-28T12:33:27,Bob Kanowski,i turned it on mute as soon is i came on i just wanted to check the  views...﻿
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,1,2013-11-28T16:01:47,Cony,You should check my channel for Funny VIDEOS!!﻿
z12avveb4xqiirsix04chxviiljryduwxg0,1,2013-11-28T16:30:13,BeBe Burkey,and u should.d check my channel and tell me what I should do next!﻿
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,1,2013-11-28T17:06:17,Huckyduck,Hey subscribe to me﻿
z13xit5agm2zyh4f523rst2gowmbx5bml,1,2013-11-28T17:34:55,Lone Twistt, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿
z13pejoiuozwxtdu323dspopnri4xts0f,1,2013-11-28T17:54:39,Archie Lewis,https://twitter.com/GBphotographyGB﻿
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,1,2013-11-28T18:12:12,TheUploadaddict,subscribe like comment﻿
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,1,2013-11-28T19:52:35,Francisco Nora,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,1,2013-11-28T21:14:13,Gaming and Stuff PRO,Hello! Do you like gaming art videos scientific experiments tutorials  lyrics videos and much much more of that? If you do please check out our  channel and subscribe to it we've just started but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿
z13bgdvyluihfv11i22rgxwhuvabzz1os04,0,2013-11-28T21:49:00,Zielimeek21,I'm only checking the views﻿
z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,1,2013-11-28T21:55:02,OutrightIgnite,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿
z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,1,2013-11-28T23:57:13,Tony K Frazier,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,1,2013-11-29T00:22:01,Jose Renteria,We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops tank tops t-shirts v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿
z12axnji5w2axxht522thb3bktvqjdlbp04,0,2013-11-29T02:13:56,zhichao wang,i think about 100 millions of the views come from people who only wanted to  check the views﻿
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,1,2013-12-01T01:20:21,Carlos Thegamer,subscribe to my channel people :D﻿
z12ohdxjtsatvppjb04cctprprb1slnxdf4,1,2013-12-01T03:30:55,OutrightIgnite,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿
z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,0,2013-12-01T04:51:52,Owen Lai,just checking the views﻿
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,1,2013-12-23T12:54:38,||GuitarZ||,CHECK OUT MY CHANNEL
LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,1,2013-12-25T19:46:26,Living4Techno,marketglory . com/strategygame/andrijamatf earn real money from game
LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,1,2013-12-27T23:07:50,8-BitMusic,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!
z13kszcinpnvc34v2234fnpxkpmlw3nhc04,1,2014-01-19T00:21:29,Kyle Jaber,Check me out! I'm kyle. I rap so yeah ﻿
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,0,2014-01-19T00:36:25,Brandon Pryor,I dont even watch it anymore i just come here to check on 2 Billion or not﻿
